name,slug,url,logo_url,countries,categories,tags,description
Uber Eats,uber-eats,https://www.deliverect.com/en/integrations/uber-eats,https://www.datocms-assets.com/165162/1753464727-uber-eats-icon.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We integrate Uber Eats with your point-of-sale system to send all Uber Eats orders straight to your restaurant POS and kitchen. Fast, easy, hassle-free!"
Square,square,https://www.deliverect.com/en/integrations/square,https://www.datocms-assets.com/165162/1753464417-square-logo-svg-vector_1.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,Deliverect has partnered with Square POS to build a reliable two-way integration so you can easily manage your online orders from a single point of sale. —Learn more
DoorDash,doordash,https://www.deliverect.com/en/integrations/doordash,https://www.datocms-assets.com/165162/1753464681-svg_logo_container.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We integrate the DoorDash delivery platform with your point-of-sale system to send all orders straight to your restaurant POS and kitchen. Fast, easy, hassle-free!"
Clover,clover,https://www.deliverect.com/en/integrations/clover,https://www.datocms-assets.com/165162/1753464681-clover-icon.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"With orders pushed directly to Clover POS, there’s no more human error involved in the online order process, so you can spend more time on what really matters."
Uber Direct,uber-direct,https://www.deliverect.com/en/integrations/uber-direct,https://www.datocms-assets.com/165162/1753464895-uber-direct-deliverect-logo.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,We integrate Uber Direct with your point-of-sale system to effortlessly scale your delivery operations by connecting any order with the best delivery option
Deliveroo,deliveroo,https://www.deliverect.com/en/integrations/deliveroo,https://www.datocms-assets.com/165162/1753465758-deliveroo_160wide-01.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,Integrate Deliveroo with your restaurant's point-of-sale system and send all Deliveroo orders straight to your POS. No need to re-punch orders ever again!
Toast,toast,https://www.deliverect.com/en/integrations/toast,https://www.datocms-assets.com/165162/1753464331-toast-deliverect-logo.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with Toast, improving your restaurant’s operational flow and eliminating manual labor. "
WRS,wrs,https://www.deliverect.com/en/integrations/wrs,https://www.datocms-assets.com/165162/1753464332-wrs-deliverect-logo.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with WRS, improving your restaurant’s operational flow and eliminating manual labor. "
Aloha Cloud,aloha-cloud,https://www.deliverect.com/en/integrations/aloha-cloud,/_next/image?url=https%3A%2F%2Fwww.datocms-assets.com%2F165162%2F1757525431-aloha-cloud-ncr-voyix.png&w=64&q=75,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with your Aloha Cloud POS, improving your restaurant’s operational flow and eliminating manual labor. Say goodbye to order mistakes, delays and unnecessary admin!"
Flooid,flooid,https://www.deliverect.com/en/integrations/flooid,https://www.datocms-assets.com/165162/1762468560-flooid-logo.svg,Australia; Belgium; Canada; France; Germany; Global; Hong Kong; Italy; LATAM; Mexico; Middle East; Netherlands; Nordics; Portugal; Singapore; Spain; Sweden; Switzerland; United Kingdom; United States,"POS systems; 3rd-party marketplace; 3rd-party dispatch; Online ordering; On-site ordering; Loyalty & CRM; KDS, inventory & reporting; Payment platforms; AI integrations",,"We aggregate all your online orders and synchronize them with Flooid, improving your restaurant’s operational flow and eliminating manual labor. "
