name,slug,url,logo_url,countries,categories,tags,description,location,fees,industry,website,detail_description,name_ar,description_ar
Bonat,bonat,https://marn.com/en/bonat/,https://marn.com/wp-content/uploads/2020/12/Bonat.png.webp,Saudi Arabia,,,We Partner and work with Top Companies and startups to deliver the most meaningful and rewarding value to our merchants.,Riyadh,Contact Sales,Loyalty Program,https://bonat.io/,"Bonat is an integrated customer management system, where Bonat provides you with a simple and easy-to-use customer loyalty program that helps you to know your customer more and increase his rate of return as it provides you with your own dashboard that provides you with accurate analytical information that helps you to know your customers and communicate with them easily",بونات,نظام ولاء - اجعل كل عميل لديك افضل عميل
STC Pay,stcpay,https://marn.com/en/stcpay/,https://marn.com/wp-content/uploads/2021/01/STCpay-logo-website-1.png.webp,Saudi Arabia,,,We Partner and work with Top Companies and startups to deliver the most meaningful and rewarding value to our merchants.,"Riyadh, Saudi Arabia",Free,Wallet,https://stcpay.com.sa/,"Enjoying a day out over the weekend? Getting your shopping done? Treating yourself to some new clothes? Or just getting a coffee on your way to work?
Whatever it is you’re buying, you can pay for it safely and safely with stc pay. The digital wallet allows you to pay for your purchases from hundreds of thousands of shops, cafes, restaurants, and online stores with just your mobile. All you have to do is scan the merchant’s QR code.
‍
The success formula for any business lies in preserving your existing customers,
‍",STC Pay,‫محفظة رقمية مجهزة لإتمام مدفوعاتك اليومية أينما كنت‬.
Belo,belo,https://marn.com/en/belo/,https://marn.com/wp-content/uploads/2021/01/belo-logo-white-typo.png.webp,Saudi Arabia,,,Omnichannel loyalty and ordering solution.,"Riyadh, Saudi Arabia",Contact Sales,Omnichannel loyalty and ordering solution,https://beloapp.com,"Enjoying a day out over the weekend? Getting your shopping done? Treating yourself to some new clothes? Or just getting a coffee on your way to work?
Whatever it is you’re buying, you can pay for it safely and safely with stc pay. The digital wallet allows you to pay for your purchases from hundreds of thousands of shops, cafes, restaurants, and online stores with just your mobile. All you have to do is scan the merchant’s QR code.
‍
The success formula for any business lies in preserving your existing customers,
‍",بيلو Belo,نظام ولاء وطلبات متصل بقناة البيع
Mada,mada,https://marn.com/en/mada/,https://marn.com/wp-content/uploads/2020/12/Mada.png.webp,Saudi Arabia,,,The most convenient way to pay everyday,Saudi Arabia,Free,Payment,https://www.mada.com.sa/en,"The Saudi Payments Network or mada (formerly SPAN) is the only and major payment system in the kingdom of Saudi Arabia established by Ministry of Finance under the supervision of Saudi Central Bank.
Mada provides its services through over than 17,000 ATM machines and over 225,000 POS terminals in the Kingdom. In cooperation with global payment systems such as Visa, MasterCard, and Maestro, mada allows access to millions of ATMs and POS terminals worldwide.[2]
‍
‍",مدى Mada,الشبكة السعودية للمدفوعات
Otlob,otlob,https://marn.com/en/otlob/,https://marn.com/wp-content/uploads/2020/12/Otlob-Partner-logo-website.jpg.webp,Saudi Arabia,,,Receive Online Orders in your POS,Saudi Arabia,Contact Sales,Online orderinh,https://otlob.io,"Otlob helps you grow and provide innovative customer experiences by facilitating access to an electronic meal menu and completing orders remotely through easy payment methods, which enhances in increasing sales and building a better relationship with the customer. Otlob also helps you in managing branches and direct linking with points of sale, in addition to analyzing and following up on data
‍
‍",أطلب Otlob,نظام إدارة طلبات الاونلاين
Order,tryorderonline,https://marn.com/en/tryorderonline/,https://marn.com/wp-content/uploads/2022/02/unnamed-1.jpeg.webp,Saudi Arabia,,,Enhance Your Online Presence & Profit More,"Riyadh, Saudi Arabia",Contact Sales,Online Ordering,https://tryorder.online/,"Increase your profits without conditions and without commissions. Develop your relationship with the customer directly by reviewing their data, opinions and the movement of their requests.
Seamlessly integrate with other systems like payment, delivery and other services without additional technical costs.
Get technical solutions to help you develop your business and save a lot of money: the website, smart phone application,
order
‍
Features
An Application For Your Restaurant:
Immediate Activation:
Connecting With Delivery Companies:
Multilingual:
Various Payment Options:
Delivery & Pick-Up:
Manage Food Menus:
‍",Order أوردر,أثبت وجودك على الإنترنت وحقّق أرباح أكثر
iwaiter آي ويتر,iwaiter,https://marn.com/en/iwaiter/,https://marn.com/wp-content/uploads/2022/02/new-Logo-01.png.webp,Saudi Arabia,,,Get Your Restaurant Web APP In 15 Min,Riyadh,Contact Sales,Online Ordering,https://iwaiter.net/,"increase your revenue and bring more customers to your store with
iWaiter",iwaiter آي ويتر,أنشئ منيو الكتروني لمطعمك في 15 دقيقة
Msegat,msegat,https://marn.com/en/msegat/,https://marn.com/wp-content/uploads/2022/02/Msegat.jpg.webp,Saudi Arabia,,,Communications Platform,"Riyadh, Saudi Arabia",Contact Sales,SMS Communications,https://www.msegat.com/,"MSEGAT is a robust communication platform.Everything you need to communicate with your customers
‍
Features
Alerts & Notifications
Engage with your customers on their preferred communication channel.
‍",مسجات Msegat,منصة التواصل مع عملائك
Geidea,geidea,https://marn.com/en/geidea/,https://marn.com/wp-content/uploads/2022/02/Geidea.jpg.webp,Saudi Arabia,,,Take payments your way,Riyadh,Free!,Payments,https://geidea.net/,"Whether you sell on the go, in store or online,",,
Nearpay,nearpay,https://marn.com/en/nearpay/,https://marn.com/wp-content/uploads/2022/02/Nearpay.jpg.webp,Saudi Arabia,,,Payments on your Mobile device,Riyadh,Contact Sales,Payments,https://www.nearpay.io/,"Whether you sell on the go, in store or online,",نيرباي Nearpay,إقبل المدفوعات على جهازك المحمول
Nana Business,nana,https://marn.com/en/nana/,https://marn.com/wp-content/uploads/2022/02/Nana.jpg.webp,Saudi Arabia,,,Get Your Fresh Grocery Delivered to You whenever you want it.,Riyadh,Contact Sales,Inventory Supplier,https://www.nana.sa/,"Nana Direct provides you with a full and varied list of groceries and home essentials neatly classified to shop with your fingertips, puts in your hand a range of supermarkets and medium-sized groceries to fit all different users.",نعناع دايركت Nana,اشتري مقاضيك ومكونات مخزونك أون لاين وستصلك لمتجرك طازجة وقتما تشاء
Xero,xero,https://marn.com/en/xero/,https://marn.com/wp-content/uploads/2022/02/Xero.jpg.webp,Saudi Arabia,,,All-in-one online accounting software,Global,Contact Sales,Accounting,https://www.xero.com/,Run your business on Xero’s simple and powerful online accounting software.,زيرو Xero,برنامج محاسبي متكامل
Hesaab,hesaab,https://marn.com/en/hesaab/,https://marn.com/wp-content/uploads/2023/06/5ba0e07b-0eb5-4553-84b3-591ddbbcf072.jpg.webp,Saudi Arabia,,,A cloud program that supports Zero accounting software in Arabic,Riyadh,Contact Sales,Accounting system,https://hesaab.app/register,"A cloud program that supports the Zero accounting program in Arabic, accepts electronic invoices approved by the Zakat, Tax, and Customs Authority within electronic billing service providers, integrates with the Zero program in managing sales, quotations, and customer accounts, manages purchases, purchase orders, and supplier accounts, manages commercial inventory, manages payrolls and human resources, and manages bank accounts, cash, and variable assets. Service integration with apps is provided.",حساب,نظام سحابي يدعم برنامج زيرو المحاسبي باللغة العربية
ADD,add,https://marn.com/en/add/,https://marn.com/wp-content/uploads/logo.png.webp,Saudi Arabia,,,The easiest Accounting Software Application you can use forever,Global,Contact Sales,Accounting,https://addaccounting.com/,"The easiest Accounting Software Application you can use forever
ADD cloud-based accounting software has so many features designed to assist investors to manage their business throw the easiest entries: Easy to use, Mature, Accurate and Trusted by investor
Features
Accounting
HR / Payroll
Easy integration
ZATCA E-invoice Service
Multiple Currency
‍
‍",عدد Add,أسهل برنامج محاسبي يمكنك استخدامه على الإطلاق
VOM,vom,https://marn.com/en/vom/,https://marn.com/wp-content/uploads/2022/09/vom-logo.png.webp,Saudi Arabia,,,VOM is an easy cloud accounting platform,,,Accounting System,https://getvom.com/en/vom-marn-2/?utm_source=marn+page&utm_medium=website&utm_campaign=integration+with+Marn,"Vom, Value of Money,
IS
an easy cloud accounting platform that automates financial records and helps business owners who need to simplify their accounting transactions
BY
seamlessly integrating with 3rd party systems
AND
saves time and avoids errors
UNLIKE
traditional platforms which are isolated and don’t provide real time data.
Approved by Zakat, Tax and Customs Authority
Synchronization of MARN payment plans accounts to separate accounts in chart of accounts in VoM
Easily track and sync supplier accounts and purchases
Easily integration and data synchronization
‍
Start Your Free Trial Now
‍",VOM | فوم,ڤومـ هي منصة محاسبية سحابية
Supy,supy-2,https://marn.com/en/supy-2/,https://marn.com/wp-content/uploads/supy.png.webp,Saudi Arabia,,,"A platform for managing inventory, procurement and operational processes for restaurants",GCC,Book a demo,Inventory Management System,https://supy.io/,"Supy is an integrated platform for inventory and operational management in restaurants. It helps reduce costs, improve operations, and increase profitability by controlling your operational processes.
‍
‍",سابي Supy,منصة لإدارة المخزون والمشتريات والعمليات التشغيلية للمطاعم
