name,country,logo_url,categories,statuses,is_global,partner_url
3sPOS,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d4e415c82498e266dea_3sPOS.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
3sPOS,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d4e415c82498e266dea_3sPOS.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Access POS,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6565967f5e7b3f872f55e131_Access%20logo%20(1).png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Adloggs,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68bead34929cd38472ff480c_Integration%20page%20icons%20(10).png,Fulfilment,Live,False,https://www.urbanpiper.com/integrations
Agilysis,United States,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aee74c811041cde5b9a5a_Untitled%20design%20(54).png,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
All POS,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1df8364de813fb952a39a_All%20POS%20logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Amepos,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1df99a346f58469dd70bf_Ame%20POS%20logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
App4,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfa81ddd92f846e4a0d2_App%204%20logo.png,Online Ordering,Live,False,https://www.urbanpiper.com/integrations
BIMPOS,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfb7af4af49e1271442e_BimPOS%20logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
BestPOS/FnB 360,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697d5b6211500323148eb1_hostbooks-logo-fnb-360-65697977566d6.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Billberry,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697bccfc2f9ec21b03fea1_billberry-logo-65697983bacf8.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Bitsila,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfcb46b73500e3027755_Bitsila%20black%20logo.png,Online Ordering,Live,False,https://www.urbanpiper.com/integrations
Biz1Book,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1e3a46a77b0294146c201_Biz1book%20logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Blue Lotus 360,United Kingdom,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698ccf2594297eaf63413b_Blue%20Lotus-logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Bravery Kitchen,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3f559e1e0b3c1d71e6b4_bravery-kitchen.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Bridge/Explorex,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dffc3e608620c3766f5a_Exploreex%20logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
CW Suite,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68b7ce76aa54a6d344217d5b_Integration%20page%20icons%20(8).png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
CW Suite,United States,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68b7ce76aa54a6d344217d5b_Integration%20page%20icons%20(8).png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
