name,logo_url,categories,statuses,countries,is_global,partner_url
3sPOS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d4e415c82498e266dea_3sPOS.webp,POS Systems,Live,United Kingdom|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Access POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6565967f5e7b3f872f55e131_Access%20logo%20(1).png,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Adloggs,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68bead34929cd38472ff480c_Integration%20page%20icons%20(10).png,Fulfilment,Live,India,False,https://www.urbanpiper.com/integrations
Agilysis,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aee74c811041cde5b9a5a_Untitled%20design%20(54).png,POS Systems,Upcoming,United States,False,https://www.urbanpiper.com/integrations
All POS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1df8364de813fb952a39a_All%20POS%20logo.png,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Amepos,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1df99a346f58469dd70bf_Ame%20POS%20logo.png,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
App4,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfa81ddd92f846e4a0d2_App%204%20logo.png,Online Ordering,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
BIMPOS,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfb7af4af49e1271442e_BimPOS%20logo.png,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
BestPOS/FnB 360,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697d5b6211500323148eb1_hostbooks-logo-fnb-360-65697977566d6.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Billberry,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697bccfc2f9ec21b03fea1_billberry-logo-65697983bacf8.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Bitsila,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfcb46b73500e3027755_Bitsila%20black%20logo.png,Online Ordering,Live,India,False,https://www.urbanpiper.com/integrations
Biz1Book,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1e3a46a77b0294146c201_Biz1book%20logo.png,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Blue Lotus 360,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698ccf2594297eaf63413b_Blue%20Lotus-logo.webp,POS Systems,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Bravery Kitchen,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3f559e1e0b3c1d71e6b4_bravery-kitchen.png,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Bridge/Explorex,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dffc3e608620c3766f5a_Exploreex%20logo.png,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
CW Suite,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68b7ce76aa54a6d344217d5b_Integration%20page%20icons%20(8).png,POS Systems,Live,India|United States,False,https://www.urbanpiper.com/integrations
CaptainPad,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697cc9a8d446f6b8b73770_captainpad-logo-65697984617d9.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Careem,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66bb0e71cc0b0f0c1a635bcc_Careem_Wordmark_Careem_Green_CMYK.jpg,Delivery platforms,Live,Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Careem Box,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfdf67437017e941e233_careembox%20logo.png,Fulfilment,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Cari,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/663474a0ea5c77f33c6f56c5_Get%20cari%20logo.webp,Delivery platforms,Live,United Arab Emirates|Saudi Arabia|Kuwait,False,https://www.urbanpiper.com/integrations
ChatFood,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589cdcb806bac27083dd7_Chatfood-logo%20(1).webp,Online Ordering,Live,United Arab Emirates|United Kingdom,False,https://www.urbanpiper.com/integrations
Chownow,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658b8502c9a3052f038eb6_Chownow-logo.svg%20(1).webp,Delivery platforms,Upcoming,United States,False,https://www.urbanpiper.com/integrations
Cibo,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656985a979ab2f7b6485c8ba_CIBO-logo.webp,POS Systems,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Ciferon,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979e1aaa385bd5aeffd54_ciferon-logo-6569798504295.webp,POS Systems,Live,India,False,https://www.urbanpiper.com/integrations
Cowrks,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6664378429685d0e7e463666_COWRKS.webp,Delivery platforms,Upcoming,India,False,https://www.urbanpiper.com/integrations
Cyntra AI,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/679c85cb164f379f7f197eb7_cyntra-logo.png,POS Systems,Live,United States,False,https://www.urbanpiper.com/integrations
