name,slug,url,logo_url,countries,categories,tags,description,developer_name,developer_email,developer_url,developer_phone,avg_rating,total_ratings,pricing
Ziadah Upsell Cross sell,1826,https://apps.zid.sa/en/application/1826,https://media.zid.store/apps/56e69189-4c1a-4d07-945d-0ad7aa61540e.png,Saudi Arabia,Marketing,Free; Trial,"## All order volume boost solutions in one system

### What changes when you activate Ziadah app?

* Customers buy more than one product.
* Most orders contain a high number of items.
* Average Order Value (AOV) increases.
* Customer Acquisition Cost (CAC) decreases.
* You can market great, low-priced products at **0 SAR** cost.
* Inventory turnover becomes faster ""Stock moves quickly.""

> This isn't just theory; check the merchants' reviews at the bottom of the page.

---

### Ou",ziadah commerce,support@ziadah.app,https://web.ziadah.app/,,4,35,7 Day Free Trial
Thunder,4035,https://apps.zid.sa/en/application/4035,https://media.zid.store/apps/6a07bddf-45e8-442f-ad4b-be339f173f90.png,Saudi Arabia,Analytics & Reporting,Paid; Embedded,"If you’re spending any money on ads for your store, did you know you might be wasting up to 50% of your budget due to a hidden problem many overlook? The issue is called **the marketing data gap!**

**What is the marketing data gap?**
Most online stores rely on popular advertising platforms like Google, TikTok, Meta, and Snapchat to promote their products. The catch that many miss is that these platforms often provide incomplete or even inaccurate analytics about your campaign performance. Th",Dhleez,hello@trythunder.io,https://trythunder.io/,,5,12,"From SAR 1,150.00 / 1 Month"
Cartat Whatsapp,1397,https://apps.zid.sa/en/application/1397,https://media.zid.store/apps/dd17811d-6dc6-461e-bc82-ceb9b64c54f0.png,Saudi Arabia,Marketing,Paid; 40% discount,"Cartat app is the marketing manager for your store, enables you to create advertising campaigns, send alerts to abandoned cart customers, send updates about order statuses, and various other alerts, and all of this is done automatically and without your intervention.

**The most important services provided:**

**-** Link your WhatsApp account to your store instantly and directly without the need to wait for approvals.

**-** create a Whatsapp bot You can customize it as you like for automa",Cartat,cartatapp@gmail.com,https://app.cartat.net/login,,4,17,From SAR 126.50 / 1 Month
Shrinkit,1912,https://apps.zid.sa/en/application/1912,https://media.zid.store/apps/90feac5d-5534-4882-b673-4a4371cf6a66.png,Saudi Arabia,Marketing,Free; Trial; 53% discount,"Shrinkit is a comprehensive full-stack tool designed for ecommerce marketing. It offers a range of features to enhance marketing strategies:

**Our Features**

**-** **Web Push Notifications**

Shrinkit offers web push notifications, enabling businesses to engage users with targeted campaigns directly on their web browsers. This feature enhances customer reach and keeps them informed about promotions and updates.

**-** **Whats App Messaging**
Boost your e-commerce with our WhatsApp Bus",Appgain,support@appgain.io,https://api.shrinkit.me/zid/login,,5,1,7 Day Free Trial
Masrad,1915,https://apps.zid.sa/en/application/1915,https://media.zid.store/apps/5dee693a-30e2-4615-afdd-3785c1b9fe6d.png,Saudi Arabia,Marketing,Paid,"""Masrad"" is an application that relies on artificial intelligence to create accurate and distinctive descriptions of products on e-commerce websites. Merchants can easily generate attractive and high-quality descriptions for their products using different methods, including paragraph style, bullet points, and personalized style that may combine paragraphs, bullet points, and definitions.

Additionally, the application can recognize the necessary keywords and phrases to improve the product's cl",Masrad,support@masrad.io,https://masrad.io,,4,6,From SAR 148.35 / 1 Month
Glam,385,https://apps.zid.sa/en/application/385,https://media.zid.store/apps/b946bdc6-9a50-44f7-8d37-4b47870eb738.png,Saudi Arabia,Marketing,Paid; 20% discount,"A Cart with full liked products by customer, but he has not completed the purchase yet. With Glam, you can motivate him to come back and complete the purchase by marketing through several channels of your choice.

**Our Features**

**-** **Reports**

Monthly and weekly reports help you to know the stage of the customer stopping the request. As well as a report on the return of the customer at each step.

**-** **Several communication channels**

You can encourage the customer to buy fr",NIT APPS,apps@nit.sa,https://glam.nit.sa,,4,49,"From SAR 1,587.00 / Annually"
Convertedin,974,https://apps.zid.sa/en/application/974,https://media.zid.store/apps/0bf99fc0-aefb-4aec-a27a-f3e2c319a790.svg,Saudi Arabia,Marketing,Paid,"**Acquire more buyers. Optimize your ad spending. Maximize your revenue.**

With Convertedin, you can easily increase conversion, boost your sales, turn customer data into tangible insights, deliver personalized messages, and reduce acquisition costs in no time — whether you are a shop owner, an advertiser, or a marketer. 

**Our Services:**

* **Easily Automate Dynamic Ads**
 Boost sales and attract customers by creating tailored ads across multiple channels using our platform, which foc",Convertedin,info@converted.in,https://app.converted.in/zid/auto-login,,5,0,"From SAR 7,440.50 / 1 Month"
Whatsapp inquiry app,46,https://apps.zid.sa/en/application/46,https://media.zid.store/apps/0d686f9e-eee2-43de-acb7-83c05a645545.png,Saudi Arabia,Customer Support,Free,"Putting the store's WhatsApp number and activating the application, a button will be added to the basket in each product, enabling your customers to contact you directly to inquire about the specific product.

**Note: English language isn't supported**",Zid App Market,appmarket@zid.sa,https://apps.zid.sa/,,4,53,Free App
WhatsApp Notify Cart Ai,2382,https://apps.zid.sa/en/application/2382,https://media.zid.store/apps/2b9ba984-50bc-4ee0-8f90-96a9d868cd24.jpg,Saudi Arabia,Customer Support,Free; Trial,"Lets Bot: AI-Powered Bot to Boost Your Sales and Delight Your Customers

Achieve greater success for your store with Lets Bot.

Lets Bot is the perfect solution for Saudi store owners to enhance customer experience and increase profits using smart WhatsApp notifications and an AI-powered bot (additional paid service). Our latest update features an AI bot that automatically responds to customer inquiries about order status and product details with precision and speed, saving you time and ensu",BOT FOR DIGITAL SOLUTIONS LIMITED,ceo@letsbot.net,https://letsbot.net/ar/zid.html,,5,5,3 Day Free Trial
Lucky Wheel,1057,https://apps.zid.sa/en/application/1057,https://media.zid.store/apps/a440ea1e-7adc-4d77-a0fd-04205c3b5524.png,Saudi Arabia,Marketing,Paid,"Lucky Wheel allows you to add a customizable spinning wheel to your Zid site.

Offer potential customers discounts on the products in exchange for their email address, name, phone number, or any other information. 

Specify unique celebration messages to engage, and create as many results as you’d like!


**Our Services**

**-** Add a customizable spinner wheel to your store.

**-** Offer discounts to potential customers on products in exchange for their email address, name, phone num",Smartarget,erez@smartarget.online,https://smartarget.online/,,5,3,From SAR 34.50 / 1 Month
LinkAraby,33,https://apps.zid.sa/en/application/33,https://media.zid.store/apps/linkarabydb_logo.png,Saudi Arabia,Marketing,Free,"Affiliate marketing involves offering your product or service through marketers to promote on your behalf. In return, you pay a commission for every sale made by marketers. As a performance-based marketing method, you only pay for results.



**Our Feature**

**-** **Greater spread of your products**

Join the platform now and benefit from the services of our marketers spread in the Arab world. And give a wider spread for your brand.



**-** **Pay for results only**

We provide yo",LinkAraby,support@linkaraby.com,https://linkaraby.com,,4,22,Free App
TikTok pixel,35,https://apps.zid.sa/en/application/35,https://media.zid.store/apps/6f8a14ef-1f32-421e-b110-69ba49ed0949.png,Saudi Arabia,Campaign tracking,Free,"A measurement tool that helps you track the performance of your advertising campaign for your store through TikTok, it also allows you to track sales, conversion rate and visitor activity on your store, as well as facilitates you to find the right customers for your ad.

**Integration Steps**

Have a look at this guide from [**here**](https://help.zid.sa/en/tiktok-pixel)",a,appmarket@zid.sa,https://ads.tiktok.com/business,,4,22,Free App
X pixel,41,https://apps.zid.sa/en/application/41,https://media.zid.store/apps/d5fe495e-b920-42af-8ed1-069e331c0dd5.png,Saudi Arabia,Campaign tracking,Free,"An analytics service that allows you to measure the effectiveness of your campaign, track conversion rate, and measure return on ad spend by tracking actions people take after viewing or interacting with your ads on Twitter.



**Integration Steps**

 To know how to activate the Twitter Pixel in your store [**click here**](https://help.zid.sa/en/twitter-pixel)",Zid App Market,appmarket@zid.sa,https://twitter.com/,,4,10,Free App
Splend App,929,https://apps.zid.sa/en/application/929,https://media.zid.store/apps/31f994d6-64c8-4fca-909d-99d1ab3d58db.png,Saudi Arabia,Mobile Apps,Paid; Featured,"**🚀 Get Your Mobile App Ready in Just 48 Hours!**
Transform your online store into a high-converting mobile app—without any coding or design skills. Let SplendApp handle everything for you!

**📈 Why Does Your Store Need a Mobile App?**
🔹 Boost Your ROI – Enjoy up to 70% higher returns.
🔹 5X Higher Conversions – Turn visitors into buyers more effectively.
🔹 3X Better Customer Retention – Keep your customers engaged and coming back.
🔹 Save 40% on Paid Ads – Reduce marketing costs while incr",SplendApp,info@splendapp.com,https://splendapp.com,,5,12,"From SAR 1,300.01 / 3 Months"
Cloud Shelf,2184,https://apps.zid.sa/en/application/2184,https://media.zid.store/apps/7260caf1-7a48-4bfe-9a2a-e0ba4093bb47.jpg,Saudi Arabia,Shipping & Fulfilment,Free; Featured,Cloud Shelf is a Saudi company specializing in e-commerce business support services by providing smart and unique logistical solutions that help e-stores increase their sales by covering larger geographical locations and providing very fast shipping solutions.,Haitham Shaddad,info@cloud-shelf.com,https://cloud-shelf.com/,+966580674329,5,0,Free App
AyMakan | Shipping only,2413,https://apps.zid.sa/en/application/2413,https://media.zid.store/apps/8d9ac694-4d65-45c0-9bb6-00a5ff86e7b2.png,Saudi Arabia,Shipping & Fulfilment,Free; Featured,"Our missions is to serve businesses in the GCC by providing full supply chain support to reach their goals without distracting their core business. Distinguishing our activities with great customer experience, latest technology advancement, and multi logistical solutions.",AyMakan IT,it-support@aymakan.com.sa,https://aymakan.com,+9668001111028,5,0,Free App
